# Logfile created on Wed May 19 11:48:14 +0900 2010 by logger.rb/22285
D, [2010-05-19T11:53:16.767542 #3178] DEBUG -- : tesu: 1, from: 61, to: 60
D, [2010-05-19T11:53:16.768633 #3178] DEBUG -- : tesu: 2, from: 21, to: 22
D, [2010-05-19T11:53:16.769626 #3178] DEBUG -- : tesu: 3, from: 16, to: 15
D, [2010-05-19T11:53:16.770771 #3178] DEBUG -- : tesu: 4, from: 28, to: 20
D, [2010-05-19T11:53:16.771992 #3178] DEBUG -- : tesu: 5, from: 54, to: 62
D, [2010-05-19T11:53:16.773097 #3178] DEBUG -- : tesu: 6, from: 3, to: 4
D, [2010-05-19T11:53:16.774125 #3178] DEBUG -- : tesu: 7, from: 27, to: 35
D, [2010-05-19T11:53:16.775129 #3178] DEBUG -- : tesu: 8, from: 66, to: 67
D, [2010-05-19T11:53:16.776100 #3178] DEBUG -- : tesu: 9, from: 52, to: 51
D, [2010-05-19T11:53:16.777109 #3178] DEBUG -- : tesu: 10, from: 67, to: 68
D, [2010-05-19T11:53:16.778122 #3178] DEBUG -- : tesu: 11, from: 71, to: 61
D, [2010-05-19T11:53:16.779097 #3178] DEBUG -- : tesu: 12, from: 55, to: 47
D, [2010-05-19T11:53:16.780244 #3178] DEBUG -- : tesu: 13, from: 36, to: 44
D, [2010-05-19T11:53:16.781297 #3178] DEBUG -- : tesu: 14, from: 39, to: 40
D, [2010-05-19T11:53:16.782743 #3178] DEBUG -- : tesu: 15, from: 63, to: 71
D, [2010-05-19T11:53:16.793066 #3178] DEBUG -- : tesu: 16, from: 11, to: 21
D, [2010-05-19T11:53:16.794279 #3178] DEBUG -- : tesu: 17, from: 45, to: 54
D, [2010-05-19T11:53:16.795403 #3178] DEBUG -- : tesu: 18, from: 19, to: 11
D, [2010-05-19T11:53:16.796514 #3178] DEBUG -- : tesu: 19, from: 44, to: 52
D, [2010-05-19T11:53:16.797563 #3178] DEBUG -- : tesu: 20, from: 21, to: 29
D, [2010-05-19T11:53:16.798639 #3178] DEBUG -- : tesu: 21, from: 61, to: 45
D, [2010-05-19T11:53:16.799655 #3178] DEBUG -- : tesu: 22, from: 68, to: 69
D, [2010-05-19T11:53:16.800646 #3178] DEBUG -- : tesu: 23, from: 70, to: 69
D, [2010-05-19T11:53:16.801775 #3178] DEBUG -- : tesu: 24, from: 29, to: 69
D, [2010-05-19T11:53:16.802840 #3178] DEBUG -- : tesu: 25, from: 72, to: 61
D, [2010-05-19T11:53:16.803941 #3178] DEBUG -- : tesu: 26, from: 69, to: 29
D, [2010-05-19T11:53:16.804951 #3178] DEBUG -- : tesu: 27, from: 82, to: 70
D, [2010-05-19T11:53:16.805961 #3178] DEBUG -- : tesu: 28, from: 37, to: 28
D, [2010-05-19T11:53:16.807019 #3178] DEBUG -- : tesu: 29, from: 43, to: 42
D, [2010-05-19T11:53:16.808241 #3178] DEBUG -- : tesu: 30, from: 11, to: 21
D, [2010-05-19T11:53:16.809272 #3178] DEBUG -- : tesu: 31, from: 35, to: 43
D, [2010-05-19T11:53:16.810374 #3178] DEBUG -- : tesu: 32, from: 57, to: 58
D, [2010-05-19T11:53:16.811387 #3178] DEBUG -- : tesu: 33, from: 25, to: 24
D, [2010-05-19T11:53:16.812672 #3178] DEBUG -- : tesu: 34, from: 29, to: 49
D, [2010-05-19T11:53:16.813911 #3178] DEBUG -- : tesu: 35, from: 17, to: 8
